date,python_unscaled,python_monthly,isPartial,scale,python
2020-01-01,32,,,,
2020-01-02,58,,,,
2020-01-03,59,,,,
2020-01-04,38,,,,
2020-01-05,35,63.0,False,0.63,22.05
2020-01-06,61,63.0,,0.63,38.43
2020-01-07,63,63.0,,0.63,39.69
2020-01-08,63,63.0,,0.63,39.69
2020-01-09,72,63.0,,0.63,45.36
2020-01-10,64,63.0,,0.63,40.32
2020-01-11,39,63.0,,0.63,24.57
2020-01-12,37,67.0,False,0.67,24.790000000000003
2020-01-13,63,67.0,,0.67,42.21
2020-01-14,63,67.0,,0.67,42.21
2020-01-15,71,67.0,,0.67,47.57
2020-01-16,76,67.0,,0.67,50.92
2020-01-17,70,67.0,,0.67,46.900000000000006
2020-01-18,44,67.0,,0.67,29.48
2020-01-19,40,76.0,False,0.76,30.4
2020-01-20,56,76.0,,0.76,42.56
2020-01-21,73,76.0,,0.76,55.480000000000004
2020-01-22,100,76.0,,0.76,76.0
2020-01-23,90,76.0,,0.76,68.4
2020-01-24,75,76.0,,0.76,57.0
2020-01-25,51,76.0,,0.76,38.76
2020-01-26,47,75.0,False,0.75,35.25
2020-01-27,65,75.0,,0.75,48.75
2020-01-28,82,75.0,,0.75,61.5
2020-01-29,79,75.0,,0.75,59.25
2020-01-30,77,75.0,,0.75,57.75
2020-01-31,73,75.0,,0.75,54.75
2020-02-01,54,75.0,,0.75,40.5
2020-02-02,57,79.0,False,0.79,45.03
2020-02-03,80,79.0,,0.79,63.2
2020-02-04,89,79.0,,0.79,70.31
2020-02-05,94,79.0,,0.79,74.26
2020-02-06,96,79.0,,0.79,75.84
2020-02-07,91,79.0,,0.79,71.89
2020-02-08,57,79.0,,0.79,45.03
2020-02-09,57,81.0,False,0.81,46.17
2020-02-10,92,81.0,,0.81,74.52000000000001
2020-02-11,93,81.0,,0.81,75.33
2020-02-12,98,81.0,,0.81,79.38000000000001
2020-02-13,97,81.0,,0.81,78.57000000000001
2020-02-14,93,81.0,,0.81,75.33
2020-02-15,55,81.0,,0.81,44.550000000000004
2020-02-16,59,78.0,False,0.78,46.02
2020-02-17,80,78.0,,0.78,62.400000000000006
2020-02-18,93,78.0,,0.78,72.54
2020-02-19,96,78.0,,0.78,74.88
2020-02-20,99,78.0,,0.78,77.22
2020-02-21,90,78.0,,0.78,70.2
2020-02-22,61,78.0,,0.78,47.58
2020-02-23,62,78.0,False,0.78,48.36
2020-02-24,97,78.0,,0.78,75.66
2020-02-25,98,78.0,,0.78,76.44
2020-02-26,92,78.0,,0.78,71.76
2020-02-27,92,78.0,,0.78,71.76
2020-02-28,100,78.0,,0.78,78.0
2020-02-29,58,78.0,,0.78,45.24
2020-03-01,62,78.0,False,0.78,48.36
2020-03-02,92,78.0,,0.78,71.76
2020-03-03,100,78.0,,0.78,78.0
2020-03-04,93,78.0,,0.78,72.54
2020-03-05,99,78.0,,0.78,77.22
2020-03-06,89,78.0,,0.78,69.42
2020-03-07,58,78.0,,0.78,45.24
2020-03-08,58,70.0,False,0.7,40.599999999999994
2020-03-09,90,70.0,,0.7,62.99999999999999
2020-03-10,94,70.0,,0.7,65.8
2020-03-11,87,70.0,,0.7,60.9
2020-03-12,81,70.0,,0.7,56.699999999999996
2020-03-13,70,70.0,,0.7,49.0
2020-03-14,54,70.0,,0.7,37.8
2020-03-15,53,62.0,False,0.62,32.86
2020-03-16,70,62.0,,0.62,43.4
2020-03-17,79,62.0,,0.62,48.98
2020-03-18,83,62.0,,0.62,51.46
2020-03-19,82,62.0,,0.62,50.839999999999996
2020-03-20,75,62.0,,0.62,46.5
2020-03-21,55,62.0,,0.62,34.1
2020-03-22,57,67.0,False,0.67,38.190000000000005
2020-03-23,83,67.0,,0.67,55.61000000000001
2020-03-24,91,67.0,,0.67,60.970000000000006
2020-03-25,80,67.0,,0.67,53.6
2020-03-26,86,67.0,,0.67,57.620000000000005
2020-03-27,86,67.0,,0.67,57.620000000000005
2020-03-28,63,67.0,,0.67,42.21
2020-03-29,67,74.0,False,0.74,49.58
2020-03-30,83,74.0,,0.74,61.42
2020-03-31,89,74.0,,0.74,65.86
2020-04-01,84,74.0,,0.74,62.16
2020-04-02,98,74.0,,0.74,72.52
2020-04-03,91,74.0,,0.74,67.34
2020-04-04,68,74.0,,0.74,50.32
2020-04-05,70,74.0,False,0.74,51.8
2020-04-06,89,74.0,,0.74,65.86
2020-04-07,93,74.0,,0.74,68.82
2020-04-08,100,74.0,,0.74,74.0
2020-04-09,94,74.0,,0.74,69.56
2020-04-10,96,74.0,,0.74,71.03999999999999
2020-04-11,75,74.0,,0.74,55.5
2020-04-12,75,72.0,False,0.72,54.0
2020-04-13,91,72.0,,0.72,65.52
2020-04-14,95,72.0,,0.72,68.39999999999999
2020-04-15,100,72.0,,0.72,72.0
2020-04-16,96,72.0,,0.72,69.12
2020-04-17,94,72.0,,0.72,67.67999999999999
2020-04-18,70,72.0,,0.72,50.4
2020-04-19,73,75.0,False,0.75,54.75
2020-04-20,82,75.0,,0.75,61.5
2020-04-21,97,75.0,,0.75,72.75
2020-04-22,95,75.0,,0.75,71.25
2020-04-23,95,75.0,,0.75,71.25
2020-04-24,85,75.0,,0.75,63.75
2020-04-25,64,75.0,,0.75,48.0
2020-04-26,72,74.0,False,0.74,53.28
